Id,cross_id,tgraph_id
029974,[r42400]|[r42398],29974
029106,[r41359]|[r42725],29106
028228,"[r40550,r40609,r40612]|[r40608,r40613,r45455]",28228
029367,"[r41657,r45457]|[r45456,r45458]",29367
029867,"[r45472]|[r42248,r42253]",29867
029366,"[r41658,r42252]|[r41657]",29366
031169,"[r44002,r44003]|[r44001,r45270]",31169
028565,[r40865]|[r43862],28565
028564,[r43861]|[r40864],28564
028287,[r40613]|[r40615],28287
028286,[r40614]|[r40612],28286
032142,[r50145]|[r45447],32142
032143,[r45447]|[r45448],32143
028506,[r40816]|[r42045],28506
028507,[r42046]|[r40817],28507
034333,[r48931]|[r49710],34333
029076,"[r41332,r43170,r48457]|[r43171,r48456,r49708]",29076
027930,"[r40296,r50040]|[r41326,r42925]",27930
029068,"[r49704,r49707]|[r41324,r49706]",29068
027929,"[r40295,r43877]|[r43876,r50038]",27929
033182,[r46948]|[r46950],33182
033183,[r46951]|[r46949],33183
030102,[]|[r42558],30102
030103,[r42559]|[r46947],30103
027842,"[r40230,r40611,r41660,r46934]|[r40231,r40610,r41659,r46935]",27842
028235,"[r40607,r40608,r45456]|[r40555,r40606,r40609]",28235
034327,[r48917]|[r48923],34327
034328,[r48924]|[r48918],34328
028490,"[r40796,r40813,r48918]|[r40795,r40797,r48917]",28490
029793,"[r42171,r42174,r42176]|[r42172,r42173,r42175]",29793
027946,[r40312]|[r40314],27946
027945,[r40313]|[r40311],27945
027973,"[r40336,r40337,r48433]|[r40335,r40338,r40596,r48434]",27973
032937,"[r46545,r46722,r48421]|[r46544,r46721,r48907]",32937
025696,[r46721]|[r36456],25696
025697,[r36457]|[r46722],25697
022941,"[r32394,r33908]|[r33909,r37307]",22941
022735,"[r32105,r32106,r33897,r33902]|[r32104,r32107,r33898,r33903]",22735
022200,[r31650]|[r31459],22200
024024,"[r33895,r33898,r33899]|[r33896,r33897]",24024
022954,"[r33893,r34674]|[r32409,r33894]",22954
027608,[r39943]|[r39942],27608
022542,"[r31869,r37319]|[r32384]",22542
027609,[r39944]|[r39945],27609
022939,"[r32392,r32774,r36459]|[r32393,r36458]",22939
032959,"[r46561,r46562,r46608]|[r46560,r46563,r46609]",32959
032882,"[r46501,r46503,r46603,r48416]|[r46502,r46504,r46602,r48415]",32882
049166,[r70973]|[r77461],49166
049167,[r77462]|[r70974],49167
033010,[r46618]|[r48909],33010
033011,[r48910]|[r46619],33011
032952,"[r46557,r49689,r50140]|[r46556,r49688,r50141]",32952
049820,"[r71550,r77688,r77690]|[r71549,r77687,r77691]",49820
027937,"[r40306,r40307,r41318,r42271]|[r40305,r40308,r41319,r48438]",27937
030518,"[r43142,r43451]|[r43141,r43151]",30518
028597,[r40893]|[r40894],28597
030523,"[r43147,r43152]|[r43148,r43153,r45440]",30523
031069,"[r43847,r45440]|[r43851]",31069
031073,[r43851]|[r43852],31073
027979,[r40340]|[r41675],27979
027978,[r41674]|[r40339],27978
029796,"[r42178,r42181]|[r42180,r46809]",29796
028266,"[r40587,r41677]|[r43147,r43150]",28266
029972,[r46903]|[r42397],29972
029975,[r42398]|[r46902],29975
030213,"[r42725]|[r42726,r42753]",30213
032156,"[r45473,r45474]|[r45472,r45475]",32156
029871,"[r42253,r45469]|[r42252]",29871
031168,[r44000]|[r44003],31168
028594,[r44001]|[r40890],28594
028595,[r40891]|[r44002],28595
028563,[r40863]|[r40865],28563
028560,[r40864]|[r40862],28560
029378,"[r41683,r42045,r45482]|[r42042,r42046,r45483]",29378
034748,[r49710]|[r49709],34748
034093,[r48459]|[r48457],34093
034092,[r48456]|[r48458],34092
029075,[r41331]|[r41332],29075
032056,"[r45278,r50041]|[r45277,r50040]",32056
030359,[r42925]|[r42926],30359
027835,"[r40225,r42396,r46931,r49706]|[r42395,r46930,r49705,r49707]",27835
034747,[r49703]|[r49704],34747
031085,"[r43875,r50038]|[r43874,r50039]",31085
031089,[r43879]|[r43877],31089
031088,[r43876]|[r43878],31088
033184,[r46950]|[r46952],33184
033185,[r46953]|[r46951],33185
033181,[r46947]|[r46946],33181
033176,[r46935]|[r46933],33176
033175,[r46932]|[r46934],33175
029368,"[r41659,r41662,r42251]|[r41660,r41661]",29368
028285,"[r40610,r40647,r46946]|[r40611,r40646]",28285
028283,[r40606]|[r46932],28283
028284,[r46933]|[r40607],28284
028491,"[r40795,r42175,r48443]|[r42176,r42177,r48442]",28491
029794,[r42173]|[r42568],29794
029795,[r42569]|[r42174],29795
027941,[r40308]|[r40312],27941
027940,[r40311]|[r40307],27940
034081,"[r48434,r48437]|[r48433,r48435]",34081
027977,[r40338]|[r40340],27977
027976,[r40339]|[r40337],27976
034076,[r48422]|[r48421],34076
034322,[r48907]|[r48908],34322
026215,[r37307]|[r37308],26215
024029,[r33909]|[r36469],24029
024028,[r36468]|[r33908],24028
024026,[r33901]|[r33902],24026
024025,[r33903]|[r33900],24025
022736,"[r32107,r32114,r37314]|[r32106,r32115,r37313]",22736
021946,"[r31240,r31459]|[r31241,r31460]",21946
024023,"[r33894,r37315]|[r33893,r33899,r37316]",24023
022936,"[r32386,r38340]|[r32387,r34674]",22936
022932,"[r39942]|[r32383,r32389]",22932
